symbol,price
STOCK_5559,2158.95
STOCK_3848,2035.325
STOCK_3940,1970.325
STOCK_3643,1864.125
STOCK_3447,1772.025
STOCK_5461,1660.25
STOCK_4580,1562.975
STOCK_3140,1462.7
STOCK_3337,1362.3
STOCK_4688,1262.875
STOCK_5047,1163.575
STOCK_4063,1064
STOCK_3311,965.6
STOCK_5769,867.825
STOCK_3365,769.575
STOCK_4127,673.6
STOCK_4699,578.95
STOCK_4441,486.375
STOCK_4989,398.2
STOCK_3415,317.6
STOCK_3979,244.475
STOCK_3824,183.175
STOCK_5628,132.425
STOCK_3561,93.25
STOCK_5226,64
STOCK_4548,43.575
STOCK_4487,29.3
STOCK_5904,19.95
STOCK_5498,13.6
STOCK_3245,9.25
STOCK_4771,6.25
STOCK_4583,4.025
STOCK_4073,3.125
STOCK_5151,2.4
STOCK_4137,2.175
STOCK_4935,2.075
STOCK_4731,1.875
STOCK_4146,1.8
STOCK_3401,1.675
STOCK_3682,1.5
STOCK_6061,2.375
STOCK_4239,2.575
STOCK_6078,2.775
STOCK_4518,3.025
STOCK_3213,3.225
STOCK_3660,3.525
STOCK_5375,3.85
STOCK_3666,4.325
STOCK_4427,4.9
STOCK_4381,5.575
STOCK_3683,6.3
STOCK_3887,7.25
STOCK_4917,8.5
STOCK_5265,10.375
STOCK_4310,12.725
STOCK_3130,16.7
STOCK_3584,22.3
STOCK_5150,30.25
STOCK_3228,41.8
STOCK_3896,60.55
STOCK_4890,87.825
STOCK_5050,125.975
STOCK_4154,175.2
STOCK_4949,235.95
STOCK_4783,306.2
STOCK_3870,386.825
STOCK_3177,471.7
STOCK_3439,562.45
STOCK_5282,655.975
STOCK_5440,751.3
STOCK_4144,848.675
STOCK_4781,945.65
STOCK_3954,1045.225
STOCK_4060,1144.95
STOCK_4993,1240.95
STOCK_4450,1342.75
STOCK_3138,1465.875
STOCK_5651,1542.375
STOCK_5998,1660.325
STOCK_4198,1739.725
STOCK_0001,7826
